"","article_id","article_title","dataset_id"
"1","10.1371/journal.pone.0213037","Migratory goose arrival time plays a larger role in influencing forage quality than advancing springs in an Arctic coastal wetland","10.18739/A22274"
"2",NA,NA,"10.18739/A2D08X"
"3","10.1371/journal.pone.0199789","A funder-imposed data publication requirement seldom inspired data sharing","10.5063/F1T151VR"
"4","10.1007/s10021-019-00472-9","Early Goose Arrival Increases Soil Nitrogen Availability More Than an Advancing Spring in Coastal Western Alaska","10.18739/A22274"
"5",NA,NA,"10.18739/A2D08X"
"6",NA,NA,"10.5063/F1T151VR"
"7","10.1111/1365-2745.13191","Phenological mismatch between season advancement and migration timing alters Arctic plant traits","10.18739/A22274"
"8","10.5194/tc-13-1233-2019","A key factor initiating surface ablation of Arctic sea ice: Earlier and increasing liquid precipitation","10.18739/A2D08X"
"9","10.5194/tc-13-775-2019","Physical and optical characteristics of heavily melted ""rotten"" Arctic sea ice","10.18739/A2D08X"
"10","10.1029/2017JC013617","Light availability and phytoplankton growth beneath arctic sea ice: Integrating observations and modeling","10.18739/A2D08X"
